date,open,high,low,close,volume,amount,turnover_rate,change_pct,amplitude
2023-09-15,5.25,5.3,5.2,5.26,17160.0,90261.59999999999,0.0,,1.9230769230769162
2023-09-18,5.24,5.44,5.19,5.43,34528.0,187487.03999999998,0.0,3.2319391634980876,4.816955684007707
2023-09-19,5.44,5.49,5.37,5.41,36381.0,196821.21,0.0,-0.36832412523019054,2.2346368715083815
2023-09-20,5.37,5.45,5.32,5.39,26499.0,142829.61,0.0,-0.3696857670979714,2.4436090225563887
2023-09-21,5.39,5.42,5.27,5.33,25787.0,137444.71,0.0,-1.1131725417439675,2.8462998102466863
2023-09-22,5.35,5.43,5.27,5.37,39746.0,213436.02000000002,0.0,0.7504690431519689,3.036053130929794
2023-09-25,5.39,5.45,5.3,5.31,30556.0,162252.36,0.0,-1.1173184357541999,2.8301886792452895
2023-09-26,5.33,5.34,5.2,5.22,29107.0,151938.53999999998,0.0,-1.6949152542372836,2.6923076923076863
2023-09-27,5.24,5.34,5.17,5.28,40832.0,215592.96000000002,0.0,1.1494252873563315,3.2882011605415844
2023-09-28,5.3,5.41,5.2,5.35,37389.0,200031.15,0.0,1.325757575757569,4.038461538461537
2023-10-09,5.35,5.41,5.11,5.12,55803.0,285711.36,0.0,-4.299065420560744,5.87084148727984
2023-10-10,5.13,5.18,5.06,5.07,28388.0,143927.16,0.0,-0.9765625,2.371541501976287
2023-10-11,5.07,5.1,4.99,5.04,32998.0,166309.92,0.0,-0.591715976331364,2.2044088176352594
2023-10-12,5.08,5.1,4.99,5.09,31264.0,159133.76,0.0,0.9920634920634885,2.2044088176352594
2023-10-13,5.07,5.09,4.99,5.01,21613.0,108281.12999999999,0.0,-1.5717092337917515,2.004008016032057
2023-10-16,5.01,5.11,4.99,5.06,25140.0,127208.4,0.0,0.9980039920159722,2.404809619238479
2023-10-17,5.11,5.6,5.11,5.29,201133.0,1063993.57,0.0,4.545454545454564,9.589041095890396
2023-10-18,5.24,5.3,5.06,5.12,153909.0,788014.0800000001,0.0,-3.2136105860113395,4.743083003952574
2023-10-19,5.1,5.12,4.86,5.02,87987.0,441694.74,0.0,-1.953125000000011,5.349794238683122
2023-10-20,5.0,5.08,4.92,4.95,49338.0,244223.1,0.0,-1.3944223107569598,3.2520325203252063
2023-10-23,4.97,5.03,4.77,4.8,48940.0,234912.0,0.0,-3.0303030303030387,5.450733752620559
2023-10-24,4.81,5.12,4.81,5.09,72248.0,367742.32,0.0,6.0416666666666785,6.444906444906456
2023-10-25,5.14,5.2,5.1,5.17,43407.0,224414.19,0.0,1.5717092337917515,1.960784313725501
2023-10-26,5.15,5.17,5.06,5.09,41677.0,212135.93,0.0,-1.5473887814313358,2.1739130434782674
2023-10-27,5.09,5.28,5.06,5.23,53353.0,279036.19,0.0,2.7504911591355707,4.347826086956535
2023-10-30,5.24,5.37,5.2,5.31,46458.0,246691.97999999998,0.0,1.5296367112810572,3.269230769230768
2023-10-31,5.31,5.4,5.29,5.33,36149.0,192674.17,0.0,0.37664783427495685,2.0793950850661687
2023-11-01,5.38,5.45,5.32,5.42,50132.0,271715.44,0.0,1.6885553470919357,2.4436090225563887
2023-11-02,5.42,5.46,5.39,5.42,40422.0,219087.24,0.0,0.0,1.298701298701304
2023-11-03,5.41,5.5,5.4,5.43,53514.0,290581.01999999996,0.0,0.18450184501843658,1.8518518518518452
2023-11-06,5.5,5.5,5.41,5.42,39839.0,215927.38,0.0,-0.18416206261510082,1.6635859519408478
2023-11-07,5.42,5.49,5.41,5.49,35945.0,197338.05000000002,0.0,1.291512915129167,1.478743068391868
2023-11-08,5.44,5.52,5.44,5.47,26425.0,144544.75,0.0,-0.36429872495447047,1.4705882352941024
2023-11-09,5.48,5.5,5.41,5.44,26967.0,146700.48,0.0,-0.5484460694698212,1.6635859519408478
2023-11-10,5.44,5.48,5.39,5.45,30547.0,166481.15,0.0,0.18382352941175295,1.6697588126159693
2023-11-13,5.48,5.58,5.47,5.56,48530.0,269826.8,0.0,2.0183486238531945,2.0109689213894026
2023-11-14,5.55,5.57,5.48,5.51,25417.0,140047.66999999998,0.0,-0.8992805755395628,1.6423357664233549
2023-11-15,5.55,5.55,5.46,5.5,26016.0,143088.0,0.0,-0.1814882032667886,1.6483516483516456
2023-11-16,5.53,5.54,5.48,5.49,24512.0,134570.88,0.0,-0.181818181818183,1.0948905109488978
2023-11-17,5.52,5.58,5.49,5.51,25641.0,141281.91,0.0,0.36429872495444826,1.6393442622950793
2023-11-20,5.54,5.6,5.52,5.58,31746.0,177142.68,0.0,1.2704174228675091,1.449275362318842
2023-11-21,5.6,5.66,5.58,5.59,32877.0,183782.43,0.0,0.17921146953405742,1.4336917562724028
2023-11-22,5.59,5.76,5.58,5.68,52126.0,296075.68,0.0,1.610017889087656,3.225806451612898
2023-11-23,5.7,5.72,5.62,5.69,46282.0,263344.58,0.0,0.17605633802817433,1.7793594306049758
2023-11-24,5.69,5.76,5.64,5.66,42534.0,240742.44,0.0,-0.5272407732864748,2.1276595744680873
