date,open,high,low,close,volume,ma_price5,ma_volume5,amount,amplitude,price_change_pct,turnover_rate
2019-01-31,10.74,11.15,10.74,11.05,12423646,10.858,11555508,137281288.3,3.82,2.89,3.81
2019-02-01,11.0,11.14,10.9,11.12,10415583,10.932,11973046,115821282.96,2.18,1.09,4.45
2019-02-11,11.04,11.31,11.02,11.29,10315365,11.07,12700367,116460470.85,2.63,2.26,4.11
2019-02-12,11.26,11.33,11.16,11.31,11597525,11.114,10713142,131168007.75,1.51,0.44,4.18
2019-02-13,11.34,11.65,11.23,11.52,18192660,11.258,12588956,209579443.2,3.7,1.59,3.15
2019-02-14,11.47,11.52,11.31,11.36,12039900,11.32,12512207,136773264.0,1.83,-0.96,0.62
2019-02-15,11.35,11.39,11.13,11.16,11807589,11.328,12790608,131772693.24,2.29,-1.67,2.9
2019-02-18,11.2,11.86,11.2,11.76,26777095,11.422,16082954,314898637.2,5.89,5.0,3.48
2019-02-19,11.78,12.94,11.67,12.94,68804953,11.748,27524439,890336091.8199999,10.78,9.85,1.3
2019-02-20,12.9,12.96,12.56,12.79,35288795,12.002,30943666,451343688.04999995,3.1,-0.85,4.72
2019-02-21,12.72,13.65,12.58,13.0,53941201,12.33,39323927,701235613.0,8.41,2.2,1.72
2019-02-22,13.05,14.3,12.82,14.24,50913446,12.946,47145098,725007471.04,11.34,9.12,3.58
2019-02-25,14.88,15.66,14.52,15.66,65472201,13.726,54884119,1025294667.66,7.66,5.24,4.52
2019-02-26,15.66,15.93,14.78,14.81,62879163,14.1,53698961,931240404.0300001,7.34,-5.43,1.19
2019-02-27,14.54,15.52,14.54,15.01,47604081,14.544,56162018,714537255.81,6.74,3.23,3.38
2019-02-28,14.94,14.94,14.1,14.25,29029051,14.794,51179588,413663976.75,5.62,-4.62,0.86
2019-03-01,14.49,15.28,14.25,15.13,40377864,14.972,49072472,610917082.32,7.11,4.42,2.4
2019-03-04,15.38,16.58,14.91,15.64,66943865,14.968,49366805,1047002048.6,10.86,1.69,0.72
2019-03-05,15.3,15.96,15.12,15.65,38622689,15.136,44515510,604445082.85,5.49,2.29,3.45
2019-03-06,15.45,16.45,15.35,16.37,55097559,15.408,46014206,901947040.83,7.12,5.95,3.88
2019-03-07,16.1,16.4,15.68,15.9,47819441,15.738,49772284,760329111.9,4.47,-1.24,3.01
2019-03-08,14.88,15.23,14.31,14.31,50783476,15.574,51853406,726711541.5600001,6.18,-3.83,0.7
2019-03-11,14.15,14.8,13.96,14.71,28169225,15.388,44098478,414369299.75,5.94,3.96,2.01
2019-03-12,14.81,15.18,14.51,14.7,30300858,15.198,42434112,445422612.59999996,4.52,-0.74,1.1
2019-03-13,14.89,15.14,14.5,14.55,27257893,14.834,36866179,396602343.15000004,4.3,-2.28,2.91
2019-03-14,14.25,14.65,13.78,14.08,24592119,14.47,32220714,346257035.52,6.11,-1.19,2.66
2019-03-15,14.16,14.78,14.16,14.48,29022151,14.504,27868449,420240746.48,4.38,2.26,1.22
2019-03-18,14.48,14.85,14.21,14.82,25292800,14.526,27293164,374839296.0,4.42,2.35,4.24
2019-03-19,14.78,15.29,14.62,14.73,26462315,14.532,26525456,389789899.95,4.53,-0.34,4.24
2019-03-20,14.56,15.03,14.3,14.78,25880683,14.578,26250014,382516494.74,5.01,1.51,4.64
2019-03-21,14.8,15.14,14.63,14.85,30196452,14.732,27370880,448417312.2,3.45,0.34,3.25
2019-03-22,14.7,14.8,14.3,14.55,22923342,14.746,26151118,333534626.1,3.4,-1.02,2.82
2019-03-25,14.22,14.39,14.0,14.06,17635323,14.594,24619623,247952641.38,2.74,-1.13,1.52
2019-03-26,14.2,14.24,13.4,13.6,19035910,14.368,23134342,258888376.0,5.92,-4.23,2.76
2019-03-27,13.69,13.79,13.44,13.67,11968193,14.146,20351844,163605198.31,2.56,-0.15,2.97
2019-03-28,13.6,13.77,13.35,13.42,12521056,13.86,16816765,168032571.52,3.09,-1.32,4.82
2019-03-29,13.55,14.24,13.4,14.21,28282354,13.792,17888567,401892250.34000003,6.2,4.87,1.39
2019-04-01,14.3,14.77,14.15,14.62,27328133,13.904,19827129,399537304.46,4.34,2.24,3.35
2019-04-02,14.6,15.1,14.45,14.67,28288812,14.118,21677710,414996872.04,4.45,0.48,2.42
2019-04-03,14.54,14.87,14.43,14.8,23027485,14.344,23889568,340806778.0,3.03,1.79,4.96
2019-04-04,14.84,15.3,14.82,15.01,32276756,14.662,27840708,484474107.56,3.23,1.15,2.26
2019-04-08,15.06,15.35,14.47,14.72,28212528,14.764,27826743,415288412.16,5.84,-2.26,1.01
2019-04-09,14.7,15.15,14.6,14.8,17844590,14.8,25930034,264099932.0,3.74,0.68,1.39
2019-04-10,14.35,14.58,14.17,14.31,24274422,14.728,25127156,347366978.82,2.86,-0.28,4.82
2019-04-11,14.34,14.56,14.08,14.1,15687456,14.588,23659150,221193129.6,3.35,-1.67,2.89
2019-04-12,14.05,14.23,14.0,14.15,11837424,14.416,19571284,167499549.6,1.64,0.71,3.44
