date,open,high,low,close,volume,ma_price5,ma_volume5,amount,amplitude,price_change_pct,turnover_rate
2023-01-13,83.26,90.0,82.36,88.96,1321102,83.542,1005781,117525233.91999999,9.18,6.85,4.54
2023-01-16,88.8,95.0,88.5,91.5,1434783,85.018,1117879,131282644.5,7.32,3.04,4.65
2023-01-17,90.0,91.0,86.92,88.06,808042,86.49,1099746,71156178.52,4.53,-2.16,0.45
2023-01-18,87.4,87.44,85.45,85.69,656953,87.44,1058386,56294302.57,2.28,-1.96,3.59
2023-01-19,85.06,87.69,84.0,85.0,889673,87.842,1022111,75622205.0,4.34,-0.07,0.75
2023-01-20,85.25,85.5,81.81,83.78,864359,86.806,930762,72415997.02,4.33,-1.72,2.16
2023-01-30,83.61,86.76,83.0,83.88,779194,85.282,799644,65358792.72,4.5,0.32,1.74
2023-01-31,83.28,83.88,76.15,76.7,2330267,83.01,1104089,178731478.9,9.28,-7.9,2.61
2023-02-01,76.68,82.92,76.08,81.77,1874162,82.226,1347531,153250226.73999998,8.92,6.64,1.98
2023-02-02,82.31,95.5,81.36,92.12,2953527,83.65,1760302,272078907.24,17.18,11.92,4.27
2023-02-03,90.0,94.28,88.95,93.37,1881698,85.568,1963770,175694142.26000002,5.92,3.74,4.48
2023-02-06,92.44,92.72,87.49,89.37,1360505,86.666,2080032,121588331.85000001,5.66,-3.32,1.71
2023-02-07,88.72,94.49,87.8,88.44,1569656,89.014,1927910,138820376.64,7.54,-0.32,4.96
2023-02-08,88.4,90.0,87.01,88.52,520663,90.364,1657210,46089088.76,3.38,0.14,4.58
2023-02-09,87.88,89.55,83.87,84.87,1425085,88.914,1351521,120946963.95,6.46,-3.43,0.89
2023-02-10,84.94,84.98,80.6,82.47,1268606,86.734,1228903,104621936.82,5.16,-2.91,2.32
2023-02-13,82.74,86.43,81.88,85.58,1318005,85.976,1220403,112794867.89999999,5.5,3.43,1.44
2023-02-14,85.09,89.51,84.7,88.75,1214375,86.038,1149347,107775781.25,5.65,4.3,0.96
2023-02-15,88.32,88.7,84.68,84.76,586846,85.286,1162583,49741066.96,4.55,-4.03,4.39
2023-02-16,82.22,86.6,79.43,79.86,1860877,84.284,1249742,148609637.22,8.72,-2.87,3.06
2023-02-17,78.95,81.5,78.07,79.62,998950,83.714,1195811,79536399.0,4.34,0.85,2.2
2023-02-20,82.0,82.0,76.07,78.69,1800767,82.336,1292363,141702355.23,7.23,-4.04,1.71
2023-02-21,78.04,78.73,75.29,76.72,1306446,79.93,1310777,100230537.12,4.41,-1.69,3.93
2023-02-22,76.26,79.97,75.3,78.27,930561,78.632,1379520,72835009.47,6.12,2.64,4.68
2023-02-23,79.28,79.72,75.8,76.14,977225,77.888,1202790,74405911.5,4.94,-3.96,1.83
2023-02-24,76.0,76.97,75.0,75.6,1059341,77.084,1214868,80086179.6,2.59,-0.53,2.24
2023-02-27,74.57,77.0,73.59,74.23,1343146,76.192,1123344,99701727.58,4.57,-0.46,4.66
2023-02-28,74.23,78.48,73.18,75.55,1461919,75.958,1154438,110447980.45,7.14,1.78,2.94
2023-03-01,75.17,77.2,74.51,76.66,831054,75.636,1134537,63708599.64,3.58,1.98,1.69
2023-03-02,76.12,77.3,75.1,75.58,593263,75.524,1057745,44838817.54,2.89,-0.71,1.34
2023-03-03,74.67,77.5,74.64,74.88,748053,75.38,995487,56014208.63999999,3.83,0.28,0.5
2023-03-06,75.74,79.5,74.3,77.22,981151,75.978,923088,75764480.22,6.87,1.95,2.95
2023-03-07,76.86,77.2,73.35,73.69,1103595,75.606,851423,81323915.55,5.01,-4.12,4.82
2023-03-08,73.45,74.13,72.9,73.48,357995,74.97,756811,26305472.6,1.67,0.04,3.4
2023-03-09,73.48,74.0,71.5,72.32,794507,74.318,797060,57458746.239999995,3.4,-1.58,4.63
2023-03-10,72.13,73.11,70.56,72.4,618217,73.822,771093,44758910.800000004,3.54,0.37,4.31
2023-03-13,72.0,72.4,69.68,70.66,760119,72.51,726887,53710008.54,3.78,-1.86,3.99
2023-03-14,72.66,78.0,72.66,75.37,2006161,72.846,907400,151204354.57000002,7.35,3.73,3.61
2023-03-15,74.21,81.52,74.21,79.11,1764821,73.972,1188765,139614989.31,9.85,6.6,0.21
2023-03-16,78.73,81.79,77.53,77.8,1405110,75.068,1310886,109317558.0,5.41,-1.18,4.32
2023-03-17,77.59,78.96,73.2,75.0,1547104,75.588,1496663,116032800.0,7.42,-3.34,1.44
2023-03-20,74.5,74.5,72.33,72.83,738845,76.022,1492408,53810081.35,2.91,-2.24,3.96
2023-03-21,73.8,76.96,72.51,75.49,765102,76.046,1244196,57757549.98,6.03,2.29,1.21
2023-03-22,75.36,78.46,73.28,73.28,773216,74.88,1045875,56661268.480000004,6.87,-2.76,4.24
2023-03-23,73.28,74.3,63.23,64.2,3667635,72.16,1498380,235462167.0,15.11,-12.39,4.29
2023-03-24,64.62,67.5,63.6,65.14,2168588,70.188,1622677,141261822.32,6.04,0.8,3.59
2023-03-27,64.53,66.89,62.99,64.97,1523716,68.616,1779651,98995828.52,6.04,0.68,1.54
2023-03-28,65.4,65.95,63.0,63.51,1487804,66.22,1924192,94490432.03999999,4.51,-2.89,3.66
2023-03-29,63.36,65.9,63.15,63.95,1759732,64.354,2121495,112534861.4,4.34,0.93,4.99
2023-03-30,63.31,64.98,62.02,64.03,1149197,64.32,1617807,73583083.91,4.68,1.14,4.0
2023-03-31,64.0,64.0,57.23,58.95,6032969,63.082,2390684,355643522.55,10.58,-7.89,0.15
2023-04-03,58.9,59.13,57.01,57.16,2903319,61.52,2666604,165953714.04,3.6,-2.95,2.06
2023-04-04,57.58,60.18,56.2,59.03,2546248,60.624,2878293,150305019.44,6.91,2.52,0.81
2023-04-06,58.97,62.1,58.4,61.35,3241455,60.104,3174638,198863264.25,6.27,4.04,1.29
2023-04-07,61.5,69.45,61.5,68.15,8237334,60.928,4592265,561374312.1,12.93,10.81,3.68
2023-04-10,70.27,71.24,65.98,69.5,5488946,63.038,4483460,381481747.0,7.49,-1.1,4.66
2023-04-11,69.39,69.91,65.2,66.77,3520781,64.96,4606953,235082547.36999997,6.79,-3.78,2.21
2023-04-12,66.78,69.29,66.51,67.12,1963014,66.578,4490306,131757499.68,4.16,0.51,3.13
2023-04-13,67.45,73.85,66.67,69.48,4368536,68.204,4715722,303525881.28000003,10.64,3.01,4.3
2023-04-14,72.2,75.98,69.05,70.45,4432235,68.664,3954702,312250955.75,9.6,-2.42,1.24
2023-04-17,70.13,72.88,68.0,68.86,3270396,68.536,3510992,225199468.56,6.96,-1.81,0.18
2023-04-18,68.37,70.0,67.25,68.44,2055107,68.87,3217858,140651523.07999998,4.02,0.1,0.92
2023-04-19,69.04,69.5,67.4,68.97,1092312,69.24,3043717,75336758.64,3.04,-0.1,0.54
2023-04-20,68.88,69.68,66.21,67.28,1633612,68.8,2496732,109909415.36,5.04,-2.32,3.66
2023-04-21,66.51,68.7,65.52,67.2,1133212,68.15,1836928,76151846.4,4.78,1.04,1.81
2023-04-24,67.84,69.89,65.56,66.5,1897104,67.678,1562269,126157416.0,6.38,-1.98,3.33
2023-04-25,66.0,66.37,62.67,63.83,2438030,66.756,1638854,155619454.9,5.61,-3.29,4.7
2023-04-26,64.3,64.97,62.27,63.45,1329593,65.652,1686310,84362675.85000001,4.2,-1.32,0.05
2023-04-27,63.0,65.49,62.8,63.65,1730981,64.926,1705784,110176940.64999999,4.27,1.03,4.7
2023-04-28,63.1,64.61,62.1,62.46,1299167,63.978,1738975,81145970.82000001,3.98,-1.01,1.3
2023-05-04,62.9,66.22,62.5,63.39,1782735,63.356,1716101,113007571.65,5.91,0.78,1.04
2023-05-05,62.5,62.99,61.5,61.85,1188235,62.96,1466142,73492334.75,2.38,-1.04,1.5
2023-05-08,62.48,63.01,59.5,62.02,1937348,62.674,1587693,120154322.96000001,5.62,-0.74,1.96
2023-05-09,62.01,63.56,59.92,60.4,2778027,62.024,1797102,167792830.79999998,5.87,-2.6,0.36
2023-05-10,60.04,61.07,59.53,60.6,738707,61.652,1685010,44765644.2,2.56,0.93,2.55
2023-05-11,60.01,63.68,60.01,60.3,1366269,61.034,1601717,82386020.7,6.12,0.48,3.96
2023-05-12,60.3,61.4,59.63,59.84,927380,60.632,1549546,55494419.2,2.94,-0.76,2.05
2023-05-15,59.62,63.8,59.2,63.7,1681213,60.968,1498319,107093268.10000001,7.72,6.84,0.26
2023-05-16,63.7,65.38,62.3,63.51,1640400,61.59,1270794,104181804.0,4.84,-0.3,0.16
2023-05-17,63.51,64.7,62.51,64.06,1317027,62.282,1386458,84368749.62,3.45,0.87,1.89
2023-05-18,63.6,64.34,62.53,63.51,1246842,62.924,1362572,79186935.42,2.85,-0.14,2.05
2023-05-19,63.48,68.49,63.12,66.12,2097306,64.18,1596558,138673872.72,8.46,4.16,1.79
2023-05-22,66.5,68.11,65.11,66.75,983708,64.79,1457057,65662509.0,4.51,0.38,1.77
2023-05-23,66.11,68.39,65.4,65.94,896837,65.276,1308344,59137431.78,4.52,-0.26,3.22
2023-05-24,66.0,66.0,63.78,63.99,1227757,65.262,1290490,78564170.43,3.36,-3.05,1.12
2023-05-25,63.5,63.83,62.0,62.9,1131505,65.14,1267423,71171664.5,2.88,-0.94,3.19
2023-05-26,62.89,63.5,61.5,62.07,1320654,64.33,1112092,81972993.78,3.18,-1.3,1.96
2023-05-29,63.53,67.28,62.91,64.63,2774930,63.906,1470337,179343725.89999998,6.88,1.73,0.61
2023-05-30,64.33,66.5,62.8,63.85,1562935,63.488,1603556,99793399.75,5.75,-0.75,1.54
2023-05-31,63.02,64.58,62.2,62.23,864806,63.136,1530966,53816877.379999995,3.78,-1.25,4.81
2023-06-01,62.3,64.89,60.99,61.22,1426766,62.8,1590018,87346614.52,6.26,-1.73,4.76
2023-06-02,61.18,61.99,59.71,59.86,1421996,62.358,1610287,85120680.56,3.73,-2.16,2.08
2023-06-05,59.9,59.95,56.66,57.35,2811786,60.902,1617658,161255927.1,5.49,-4.26,0.49
2023-06-06,57.68,58.69,56.3,57.88,1890886,59.708,1683248,109444481.68,4.14,0.35,1.06
2023-06-07,55.68,58.3,55.68,58.07,1794222,58.876,1869131,104190471.54,4.71,4.29,0.2
2023-06-08,58.48,59.7,56.43,59.27,2643882,58.486,2112554,156702886.14000002,5.59,1.35,2.71
2023-06-09,59.0,67.8,58.61,67.43,6863445,60.0,3200844,462802096.35,15.58,14.29,3.8
2023-06-12,66.1,69.36,64.73,68.76,3754631,62.282,3389413,258168427.56000003,7.0,4.02,0.57
2023-06-13,69.89,69.99,67.3,68.93,1956552,64.492,3402546,134865129.36,3.85,-1.37,1.91
2023-06-14,69.43,69.81,67.46,67.47,1073763,66.372,3258455,72446789.61,3.38,-2.82,2.7
2023-06-15,67.81,68.71,63.24,63.87,2047897,67.292,3139258,130799181.39,8.07,-5.81,0.36
2023-06-16,64.63,68.2,63.9,65.2,2748785,66.846,2316326,179220782.0,6.65,0.88,2.44
2023-06-19,65.25,65.25,63.35,64.05,1167847,65.904,1798969,74800600.35,2.91,-1.84,0.59
2023-06-20,64.0,64.74,61.49,62.0,1605168,64.518,1728692,99520416.0,5.08,-3.12,2.53
2023-06-21,61.9,62.15,58.0,58.18,1665501,62.66,1847040,96898848.17999999,6.7,-6.01,0.25
2023-06-26,58.0,58.0,56.02,56.61,1515939,61.208,1740648,85817306.79,3.41,-2.4,0.64
2023-06-27,56.74,57.37,54.05,54.31,1878091,59.03,1566509,101999122.21000001,5.85,-4.28,4.81
2023-06-28,54.31,54.42,52.5,52.7,1318186,56.76,1596577,69468402.2,3.54,-2.96,2.03
2023-06-29,52.82,55.16,52.33,54.46,1617511,55.252,1599046,88089649.06,5.36,3.1,4.61
2023-06-30,53.5,57.21,53.5,55.75,1441660,54.766,1554277,80372545.0,6.93,4.21,0.28
2023-07-03,56.3,57.35,54.5,56.39,1057947,54.722,1462679,59657631.33,5.06,0.16,0.51
2023-07-04,57.65,66.77,55.35,65.7,4366677,57.0,1960396,286890678.90000004,19.81,13.96,3.11
2023-07-05,64.5,67.6,62.83,65.48,4630193,59.556,2622798,303185037.64000005,7.4,1.52,4.63
2023-07-06,65.35,68.3,64.56,65.38,3721426,61.74,3043581,243306831.88,5.72,0.05,3.03
2023-07-07,64.9,66.93,63.5,64.19,2502578,63.428,3255764,160640481.82,5.29,-1.09,1.44
2023-07-10,64.82,65.3,63.6,64.06,749701,64.962,3194115,48025846.06,2.62,-1.17,3.21
2023-07-11,64.14,66.98,64.12,65.9,2199484,65.002,2760676,144945995.60000002,4.46,2.74,0.86
2023-07-12,66.72,66.8,65.0,65.72,1236956,65.05,2082029,81292748.32,2.7,-1.5,2.66
2023-07-13,65.8,68.85,65.7,67.95,2583157,65.564,1854375,175525518.15,4.79,3.27,2.04
2023-07-14,69.33,69.33,65.05,66.83,1538143,66.092,1661488,102794096.69,6.17,-3.61,0.67
2023-07-17,65.5,67.47,63.88,64.66,1127098,66.212,1736968,72878156.67999999,5.48,-1.28,2.85
2023-07-18,65.33,65.58,63.0,63.35,926055,65.702,1482282,58665584.25,3.95,-3.03,3.32
2023-07-19,63.35,64.01,61.62,61.99,1079349,64.956,1450760,66908844.510000005,3.77,-2.15,4.21
2023-07-20,61.97,63.65,61.02,61.88,1068468,63.742,1147823,66116799.84,4.24,-0.15,2.44
2023-07-21,61.88,65.88,61.0,63.55,2378831,63.086,1315960,151174710.04999998,7.89,2.7,1.4
2023-07-24,63.79,67.5,63.71,67.26,2797333,63.606,1650007,188148617.58,5.94,5.44,2.41
2023-07-25,67.12,69.97,65.75,68.83,3125674,64.702,2089931,215140141.42,6.29,2.55,2.55
2023-07-26,67.94,69.73,67.93,69.25,2122552,66.154,2298572,146986726.0,2.65,1.93,1.09
2023-07-27,69.2,71.28,68.52,69.98,3492882,67.774,2783454,244431882.36,3.99,1.13,3.66
2023-07-28,70.37,71.6,69.0,70.0,4412860,69.064,3190260,308900200.0,3.69,-0.53,4.0
2023-07-31,71.09,72.0,63.35,68.79,4643094,69.37,3559412,319398436.26000005,12.17,-3.24,1.25
2023-08-01,67.5,69.3,64.5,66.15,3111828,68.834,3556643,205847422.20000002,7.11,-2.0,1.24
2023-08-02,66.15,66.15,59.88,61.93,4363855,67.37,4004904,270253540.15,9.48,-6.38,4.96
2023-08-03,60.48,61.86,59.3,60.13,4105963,65.4,4127520,246891555.19,4.23,-0.58,4.45
2023-08-04,61.1,62.72,59.1,59.86,2527106,63.372,3750369,151272565.16,5.92,-2.03,4.51
2023-08-07,59.91,59.91,56.5,57.82,2944061,61.178,3410563,170225607.02,5.69,-3.49,1.06
2023-08-08,57.33,59.18,56.5,56.56,1721403,59.26,3132478,97362553.68,4.67,-1.34,2.6
2023-08-09,56.69,61.0,56.2,59.7,2851518,58.814,2830010,170235624.6,8.47,5.31,0.63
2023-08-10,59.2,60.56,58.0,58.84,1477975,58.556,2304413,86964049.0,4.32,-0.61,4.24
2023-08-11,58.85,60.38,58.09,58.49,973287,58.282,1993649,56927556.63,3.89,-0.61,2.09
2023-08-14,57.81,58.42,56.5,58.11,1253705,58.34,1655578,72852797.55,3.32,0.52,4.13
2023-08-15,57.5,59.76,57.41,59.46,1157912,58.92,1542879,68849447.52,4.09,3.41,0.28
2023-08-16,58.65,60.5,58.65,59.9,1046717,58.96,1181919,62698348.3,3.15,2.13,4.76
2023-08-17,58.98,61.5,58.77,59.86,1251645,59.164,1136653,74923469.7,4.63,1.49,3.05
2023-08-18,59.59,61.36,59.11,59.83,1613880,59.432,1264772,96558440.39999999,3.78,0.4,0.6
2023-08-21,59.33,59.65,58.29,59.44,1298633,59.698,1273757,77190745.52,2.29,0.19,1.79
2023-08-22,57.1,58.51,55.25,58.05,2981824,59.416,1638540,173094883.2,5.71,1.66,2.47
2023-08-23,57.09,58.44,56.7,57.23,1250463,58.882,1679289,71563997.49,3.05,0.25,1.12
2023-08-24,58.41,60.4,56.8,59.81,2180649,58.872,1865090,130424616.69,6.16,2.4,3.34
2023-08-25,59.0,60.6,58.66,59.9,1105627,58.886,1763439,66227057.3,3.29,1.53,4.81
2023-08-28,65.9,65.9,60.0,61.3,1610830,59.258,1825879,98743879.0,8.95,-6.98,4.57
2023-08-29,60.32,64.88,59.59,64.79,2031094,60.606,1635733,131594580.26,8.77,7.41,4.27
2023-08-30,63.72,64.93,63.01,63.98,1524679,61.956,1690576,97548962.42,3.01,0.41,1.51
2023-08-31,63.4,63.4,61.49,61.5,1151974,62.294,1484841,70846401.0,3.01,-3.0,2.06
2023-09-01,62.5,62.5,58.88,60.93,1438171,62.5,1551350,87627759.03,5.79,-2.51,1.41
2023-09-04,61.5,61.6,58.45,58.96,1146714,62.032,1458526,67610257.44,5.12,-4.13,3.92
2023-09-05,58.24,58.78,55.53,56.73,2224627,60.42,1497233,126203089.71,5.58,-2.59,1.29
2023-09-06,56.25,57.0,53.21,53.65,2547050,58.354,1701707,136649232.5,6.74,-4.62,2.24
2023-09-07,53.21,53.98,51.88,52.26,1718298,56.506,1814972,89798253.47999999,3.95,-1.79,0.29
2023-09-08,51.52,56.92,51.52,56.2,2618197,55.56,2050977,147142671.4,10.48,9.08,2.11
2023-09-11,56.32,61.3,56.32,60.0,3935606,55.768,2608756,236136360.0,8.84,6.53,0.03
2023-09-12,59.51,60.12,57.7,60.08,2402882,56.438,2644407,144365150.56,4.07,0.96,1.38
2023-09-13,59.4,60.91,59.26,60.48,1473987,57.804,2429794,89146733.75999999,2.78,1.82,1.07
2023-09-14,60.31,61.1,58.85,59.06,1147418,59.164,2315618,67766507.08,3.73,-2.07,1.83
2023-09-15,58.79,62.89,58.4,60.57,4596261,60.038,2711231,278395528.77,7.64,3.03,2.2
2023-09-18,60.81,64.4,60.2,63.03,3558357,60.644,2635781,224283241.71,6.91,3.65,0.2
2023-09-19,62.57,63.46,62.27,62.95,1226816,61.218,2400568,77228067.2,1.9,0.61,2.05
2023-09-20,63.4,63.4,60.41,61.68,1716725,61.458,2449115,105887598.0,4.72,-2.71,2.07
2023-09-21,61.68,61.97,60.67,61.48,938914,61.942,2407415,57724432.72,2.11,-0.32,3.98
2023-09-22,61.93,62.9,60.3,61.98,1198286,62.224,1727820,74269766.28,4.2,0.08,3.15
2023-09-25,61.98,64.8,61.15,62.93,2422213,62.204,1500591,152429864.09,5.89,1.53,2.5
2023-09-26,63.24,63.24,61.2,61.34,1481894,61.882,1551606,90899377.96000001,3.23,-3.0,4.84
2023-09-27,61.34,64.59,61.31,62.86,3027841,62.118,1813830,190330085.26,5.35,2.48,4.54
