date,open,high,low,close,volume,amount,turnover_rate,change_pct,amplitude
2023-09-15,29.541,30.801,29.001,30.271,1926322.0,58311693.262,0.0,,6.206682528188673
2023-09-18,30.281,31.831,29.891,30.721,1441657.0,44289144.697,0.0,1.48657130587031,6.490247900705903
2023-09-19,30.711,31.051,29.671,30.151,1220037.0,36785335.587,0.0,-1.8554083525926912,4.651006032826663
2023-09-20,30.451,30.451,29.551,29.731,827605.0,24605524.255000003,0.0,-1.392988623926228,3.0455822137998787
2023-09-21,30.331,32.611,29.301,32.201,2139608.0,68897517.208,0.0,8.307826847398324,11.29654278010989
2023-09-22,31.451,33.151,31.441,32.801,1529657.0,50174279.257,0.0,1.8632961709263762,5.438758309214098
2023-09-25,33.221,33.221,31.691,32.051,786073.0,25194425.723,0.0,-2.2865156550105126,4.827869111104092
2023-09-26,32.251,32.481,31.401,31.841,1131929.0,36041751.289000005,0.0,-0.6552057658107402,3.439380911435948
2023-09-27,32.111,32.111,31.271,31.331,658362.0,20627139.822,0.0,-1.6017084890549982,2.6861948770426154
2023-09-28,31.561,32.801,31.301,32.271,1127841.0,36396556.911,0.0,3.0002234208930556,4.792179163605009
2023-10-09,32.171,32.911,31.431,31.891,834234.0,26604556.494,0.0,-1.1775278113476562,4.708727052909549
2023-10-10,32.151,32.281,31.401,31.531,593484.0,18713144.004,0.0,-1.128845128719702,2.802458520429283
2023-10-11,31.641,32.611,31.591,31.981,743100.0,23765081.1,0.0,1.4271669150994315,3.2287676869994493
2023-10-12,31.781,32.311,31.051,31.161,571264.0,17801157.504,0.0,-2.5640223882930524,4.057840327203638
2023-10-13,30.261,30.931,30.121,30.451,551177.0,16783890.827,0.0,-2.278489137062356,2.689153746555567
2023-10-16,31.551,31.631,29.981,30.181,474720.0,14327524.32,0.0,-0.8866703884929827,5.5034855408425285
2023-10-17,30.281,31.221,29.971,31.061,547407.0,17003008.827,0.0,2.9157416917928503,4.17069834173034
2023-10-18,31.061,31.131,30.031,30.151,378326.0,11406907.226,0.0,-2.929718940150028,3.662881688921453
2023-10-19,29.651,30.751,29.311,29.601,602147.0,17824153.347,0.0,-1.824151769427218,4.912831360240187
2023-10-20,29.551,29.831,28.451,28.661,518868.0,14871275.748000002,0.0,-3.1755683929596934,4.850444624090538
2023-10-23,28.661,28.801,27.331,27.701,721674.0,19991091.474,0.0,-3.3494993196329537,5.378507921407921
2023-10-24,27.731,29.471,27.731,28.891,718041.0,20744922.531,0.0,4.295873795169847,6.2745663697666805
2023-10-25,28.601,29.731,28.201,28.561,619660.0,17698109.26,0.0,-1.1422242220760714,5.425339526967133
2023-10-26,28.351,29.031,28.351,28.831,392195.0,11307374.045,0.0,0.9453450509435912,2.398504461923741
2023-10-27,28.901,29.621,28.231,29.531,529844.0,15646823.163999999,0.0,2.4279421456071537,4.923665474124179
2023-10-30,29.651,29.851,29.031,29.321,581008.0,17035735.568,0.0,-0.7111171311503073,2.8245668423409467
2023-10-31,29.361,30.451,29.361,30.191,794740.0,23993995.34,0.0,2.9671566454077203,3.712407615544429
2023-11-01,30.041,30.051,29.451,29.861,393656.0,11754961.816,0.0,-1.0930409724752344,2.037282265457872
2023-11-02,29.551,30.221,29.321,29.391,385782.0,11338518.762,0.0,-1.5739593449650147,3.069472391801093
2023-11-03,29.661,30.521,29.431,30.301,447767.0,13567787.866999999,0.0,3.096185907250515,3.7035778600795073
2023-11-06,30.181,30.921,29.951,30.651,723267.0,22168856.817,0.0,1.155077390185144,3.238623084371136
2023-11-07,30.781,32.101,30.201,31.061,736612.0,22879905.332,0.0,1.3376398812436685,6.291182411178433
2023-11-08,30.371,33.691,30.371,32.451,1548477.0,50249627.127000004,0.0,4.4750651942951025,10.931480688815002
2023-11-09,34.131,37.421,33.891,36.651,5066633.0,185697166.083,0.0,12.942590367014883,10.415744592959788
2023-11-10,35.511,40.051,34.651,36.371,5231427.0,190272231.41700003,0.0,-0.7639627840986596,15.583965830711952
2023-11-13,38.821,41.251,37.751,39.011,5641407.0,220076928.47700003,0.0,7.258530147645104,9.271277582050807
2023-11-14,41.011,43.501,39.271,43.251,5379203.0,232655908.95299998,0.0,10.868729332752292,10.771307071375816
2023-11-15,43.911,43.911,39.201,41.331,4640157.0,191782328.967,0.0,-4.439203717833107,12.014999617356702
2023-11-16,40.331,42.751,38.611,40.771,3907960.0,159331437.16,0.0,-1.3549151968256345,10.722333013907956
2023-11-17,41.731,42.021,39.521,40.851,2985428.0,121957719.228,0.0,0.19621789997792405,6.325750866627869
2023-11-20,40.391,41.981,38.631,41.161,4588039.0,188848273.279,0.0,0.7588553523781627,8.671792084077557
2023-11-21,41.511,41.541,38.751,39.121,3053477.0,119455073.71700001,0.0,-4.956147809819978,7.199814198343267
2023-11-22,35.211,39.161,35.211,37.281,1693421.0,63132428.301,0.0,-4.703356253674507,11.218085257447965
2023-11-23,37.591,37.601,35.321,36.201,3005315.0,108795408.315,0.0,-2.8969180011265694,6.455083378160305
2023-11-24,36.241,36.321,33.401,33.901,2454158.0,83198410.35800001,0.0,-6.353415651501326,8.742253225951302
2023-11-27,33.501,36.601,33.501,36.151,3021402.0,109226703.702,0.0,6.636972360697313,9.25345512074267
2023-11-28,36.331,36.991,35.351,36.471,1519392.0,55413745.63199999,0.0,0.8851760670520736,4.639189839042745
2023-11-29,36.291,39.411,35.881,38.921,2867451.0,111604060.37099999,0.0,6.717666090866725,9.838075861876762
2023-11-30,38.941,38.941,37.601,37.901,1913264.0,72514618.86400001,0.0,-2.6206931990442106,3.5637350070476943
2023-12-01,37.721,37.721,36.851,36.971,812815.0,30050583.365,0.0,-2.453761114482489,2.3608585927111814
2023-12-04,36.671,37.701,36.581,36.741,813436.0,29886452.076,0.0,-0.6221092207405743,3.0616986960443873
2023-12-05,36.741,37.581,35.781,36.011,628614.0,22637018.754,0.0,-1.9868811409596843,5.030602833906276
