date,open,high,low,close,volume,ma_price5,ma_volume5,amount,amplitude,price_change_pct,turnover_rate
2021-01-29,23.0,23.78,21.67,22.74,4264600,22.776,5199110,96977004.0,9.17,-1.13,2.02
2021-02-01,22.56,22.95,21.73,22.12,3512500,22.86,4727250,77696500.0,5.41,-1.95,2.53
2021-02-02,22.0,23.94,21.85,23.73,5038419,23.122,4590414,119561682.87,9.5,7.86,4.3
2021-02-03,23.15,23.49,22.26,22.41,3634400,22.804,4075544,81446904.0,5.31,-3.2,4.95
2021-02-04,22.27,22.59,21.01,21.9,3269300,22.58,3943844,71597670.0,7.09,-1.66,0.83
2021-02-05,23.0,24.0,22.03,22.18,4305200,22.468,3951964,95489336.0,8.57,-3.57,0.22
2021-02-08,21.68,22.0,19.97,20.28,3588000,22.1,3967064,72764640.0,9.36,-6.46,1.1
2021-02-09,20.52,20.68,19.84,20.45,2924400,21.444,3544260,59803980.0,4.09,-0.34,3.96
2021-02-10,20.59,21.58,20.53,20.7,2373100,21.102,3292000,49123170.0,5.1,0.53,1.88
2021-02-18,21.36,21.65,21.02,21.58,2719100,21.038,3181960,58678177.99999999,2.95,1.03,4.78
2021-02-19,21.66,22.6,21.28,22.41,2182000,21.084,2757320,48898620.0,6.09,3.46,3.38
2021-02-22,22.97,23.45,22.46,22.58,2860200,21.544,2611760,64583315.99999999,4.31,-1.7,0.41
2021-02-23,22.59,22.86,22.01,22.02,2292800,21.858,2485440,50487456.0,3.76,-2.52,4.79
2021-02-24,22.1,23.99,22.09,23.25,4000800,22.368,2810980,93018600.0,8.6,5.2,3.07
2021-02-25,23.69,23.69,22.22,22.41,2612701,22.534,2789700,58550629.410000004,6.21,-5.4,2.21
2021-02-26,22.11,23.29,21.8,22.92,2347001,22.636,2822700,53793262.92,6.74,3.66,0.95
2021-03-01,22.88,23.6,22.78,23.51,2166900,22.822,2684040,50943819.0,3.58,2.75,4.37
2021-03-02,23.47,23.8,22.63,23.2,1985300,23.058,2622540,46058960.0,4.99,-1.15,2.63
2021-03-03,23.03,23.38,22.61,23.02,1501600,23.012,2122700,34566832.0,3.34,-0.04,4.15
2021-03-04,22.99,23.25,22.5,22.79,1832867,23.088,1966734,41771038.93,3.26,-0.87,0.32
2021-03-05,22.65,23.45,22.64,23.3,1983840,23.164,1894101,46223472.0,3.58,2.87,3.71
2021-03-08,23.42,24.0,22.9,22.97,2096240,23.056,1879969,48150632.8,4.7,-1.92,3.43
2021-03-09,23.33,23.5,21.6,21.84,2084100,22.784,1899729,45516744.0,8.14,-6.39,2.8
2021-03-10,21.84,22.26,21.18,21.32,1481300,22.444,1895669,31581316.0,4.95,-2.38,2.57
2021-03-11,20.99,21.86,20.78,21.8,1215900,22.246,1772276,26506620.0,5.15,3.86,1.68
2021-03-12,22.17,23.49,21.9,21.95,2363800,21.976,1848268,51885410.0,7.17,-0.99,2.15
2021-03-15,21.9,22.6,21.33,22.13,1818540,21.808,1792728,40244290.199999996,5.8,1.05,2.48
2021-03-16,22.14,22.32,21.86,22.13,1556140,21.866,1687136,34437378.199999996,2.08,-0.05,4.78
2021-03-17,21.84,22.58,21.84,22.46,1657900,22.094,1722456,37236434.0,3.39,2.84,0.17
2021-03-18,22.73,24.16,22.73,23.25,3559500,22.384,2191176,82758375.0,6.29,2.29,1.85
2021-03-19,22.8,23.33,22.6,22.68,2513232,22.53,2221062,57000101.76,3.2,-0.53,3.43
2021-03-22,22.51,23.28,22.51,23.09,2030800,22.722,2263514,46891172.0,3.42,2.58,1.35
2021-03-23,23.15,23.79,22.52,22.75,1970104,22.846,2346307,44819866.0,5.49,-1.73,3.72
