date,open,high,low,close,volume,ma_price5,ma_volume5,amount,amplitude,price_change_pct,turnover_rate
2013-08-13,2.67,2.69,2.66,2.68,1618489,2.652,1543279,4337550.5200000005,1.12,0.37,4.6
2013-08-14,2.68,2.72,2.68,2.7,3805862,2.664,2069442,10275827.4,1.49,0.75,4.49
2013-08-15,2.69,2.76,2.69,2.72,3696338,2.682,2530949,10054039.360000001,2.6,1.12,1.48
2013-08-16,2.71,2.76,2.7,2.7,2933665,2.694,2843402,7920895.500000001,2.21,-0.37,0.33
2013-08-19,2.7,2.73,2.69,2.73,1494921,2.706,2709855,4081134.33,1.48,1.11,4.88
2013-08-20,2.75,2.85,2.73,2.8,9177184,2.73,4221594,25696115.2,4.36,1.82,1.73
2013-08-21,2.8,2.81,2.75,2.79,2816241,2.748,4023670,7857312.39,2.14,-0.36,0.36
2013-08-22,2.79,2.8,2.75,2.77,2773673,2.758,3839137,7683074.21,1.79,-0.72,2.5
2013-08-23,2.77,2.77,2.65,2.69,4585007,2.756,4169405,12333668.83,4.33,-2.89,1.91
2013-08-26,2.68,2.76,2.68,2.75,4497186,2.76,4769858,12367261.5,2.99,2.61,0.71
2013-08-27,2.75,3.03,2.73,3.03,19058082,2.806,6746038,57745988.45999999,10.91,10.18,0.48
2013-08-28,3.07,3.3,3.01,3.25,25731662,2.898,11329122,83627901.5,9.45,5.86,4.37
2013-08-29,3.18,3.26,3.09,3.17,12184689,2.978,13211325,38625464.13,5.35,-0.31,3.17
2013-08-30,3.15,3.49,3.11,3.34,20950868,3.108,16484497,69975899.11999999,12.06,6.03,2.05
2013-09-02,3.34,3.35,3.14,3.16,8744372,3.19,17333935,27632215.52,6.29,-5.39,4.46
2013-09-03,3.16,3.39,3.13,3.32,10404205,3.248,15603159,34541960.6,8.23,5.06,4.12
2013-09-04,3.3,3.35,3.23,3.24,6285682,3.246,11713963,20365609.68,3.64,-1.82,4.81
2013-09-05,3.2,3.3,3.18,3.2,3779528,3.252,10032931,12094489.600000001,3.75,0.0,1.62
2013-09-06,3.19,3.26,3.17,3.18,4131124,3.22,6668982,13136974.32,2.82,-0.31,1.29
2013-09-09,3.19,3.3,3.19,3.22,4143120,3.232,5748732,13340846.4,3.45,0.94,0.17
2013-09-10,3.23,3.35,3.19,3.28,6262812,3.224,4920453,20542023.36,4.95,1.55,1.38
2013-09-11,3.28,3.45,3.2,3.23,9947824,3.222,5652882,32131471.52,7.62,-1.52,0.4
2013-09-12,3.24,3.48,3.14,3.41,22744194,3.264,9445815,77557701.54,10.49,5.25,2.6
2013-09-13,3.3,3.43,3.25,3.29,8861774,3.286,10391945,29155236.46,5.45,-0.3,0.1
2013-09-16,3.26,3.44,3.24,3.4,7250379,3.322,11013397,24651288.599999998,6.13,4.29,3.86
2013-09-17,3.39,3.49,3.36,3.39,10691142,3.344,11899063,36242971.38,3.83,0.0,0.66
2013-09-18,3.39,3.68,3.38,3.6,13140920,3.418,12537682,47307312.0,8.85,6.19,4.15
2013-09-23,3.56,3.8,3.55,3.73,11622330,3.482,10313309,43351290.9,7.02,4.78,0.62
2013-09-24,3.72,4.1,3.6,4.1,21966020,3.644,12934158,90060681.99999999,13.44,10.22,4.16
2013-09-25,4.25,4.36,3.97,3.99,20383516,3.762,15560786,81330228.84,9.18,-6.12,0.24
2013-09-26,4.0,4.21,3.88,4.14,17968800,3.912,17016317,74390832.0,8.25,3.5,2.39
