date,open,high,low,close,volume,amount,turnover_rate,change_pct,amplitude
2023-09-15,6.19,6.2,6.12,6.16,84560.0,520889.60000000003,0.0,,1.3071895424836613
2023-09-18,6.15,6.4,6.11,6.34,151275.0,959083.5,0.0,2.922077922077926,4.746317512274959
2023-09-19,6.35,6.35,6.23,6.26,82890.0,518891.39999999997,0.0,-1.2618296529968487,1.9261637239165204
2023-09-20,6.26,6.32,6.22,6.24,66352.0,414036.48000000004,0.0,-0.31948881789136685,1.6077170418006517
2023-09-21,6.23,6.28,6.12,6.13,72381.0,443695.52999999997,0.0,-1.7628205128205177,2.6143790849673225
2023-09-22,6.14,6.3,6.13,6.28,64443.0,404702.04000000004,0.0,2.4469820554649413,2.7732463295269154
2023-09-25,6.27,6.38,6.26,6.29,70191.0,441501.39,0.0,0.15923566878981443,1.9169329073482444
2023-09-26,6.26,6.3,6.24,6.26,40196.0,251626.96,0.0,-0.4769475357710662,0.9615384615384551
2023-09-27,6.27,6.34,6.25,6.27,57563.0,360920.00999999995,0.0,0.15974440894568342,1.4399999999999977
2023-09-28,6.32,6.4,6.26,6.38,77794.0,496325.72,0.0,1.7543859649122862,2.2364217252396257
2023-10-09,6.36,6.43,6.35,6.4,78525.0,502560.0,0.0,0.31347962382446415,1.2598425196850405
2023-10-10,6.41,6.45,6.35,6.37,89391.0,569420.67,0.0,-0.46875000000000666,1.574803149606308
2023-10-11,6.37,6.39,6.22,6.22,120312.0,748340.64,0.0,-2.3547880690737877,2.733118971061092
2023-10-12,6.23,6.35,6.23,6.31,84074.0,530506.94,0.0,1.4469453376205754,1.9261637239165204
2023-10-13,6.31,6.49,6.26,6.4,142244.0,910361.6000000001,0.0,1.4263074484944571,3.6741214057508054
2023-10-16,6.36,6.38,6.18,6.34,139595.0,885032.2999999999,0.0,-0.9375000000000022,3.23624595469256
2023-10-17,6.33,6.34,6.11,6.12,136320.0,834278.4,0.0,-3.4700315457413256,3.7643207855973735
2023-10-18,6.13,6.14,6.06,6.09,69843.0,425343.87,0.0,-0.4901960784313819,1.3201320132013215
2023-10-19,6.09,6.09,5.95,5.95,92002.0,547411.9,0.0,-2.298850574712641,2.3529411764705825
2023-10-20,5.93,6.11,5.92,5.93,120503.0,714582.7899999999,0.0,-0.3361344537815225,3.2094594594594663
2023-10-23,5.93,5.96,5.72,5.75,80756.0,464347.0,0.0,-3.0354131534569895,4.195804195804199
2023-10-24,5.76,5.91,5.76,5.88,69276.0,407342.88,0.0,2.2608695652173827,2.604166666666673
2023-10-25,5.88,6.07,5.88,5.99,84711.0,507418.89,0.0,1.8707482993197244,3.231292517006809
