date,open,high,low,close,volume,ma_price5,ma_volume5,amount,amplitude,price_change_pct,turnover_rate
2014-08-15,27.27,27.47,26.9,27.2,1581310,26.21,1880538,43011632.0,2.09,-0.26,2.81
2014-08-18,27.24,29.7,26.71,28.39,2634771,26.92,2054944,74801148.69,10.98,4.22,2.48
2014-08-19,28.35,29.04,27.67,28.77,2108680,27.57,2153355,60666723.6,4.83,1.48,1.45
2014-08-20,28.7,29.0,28.06,28.38,1371633,27.988,2068457,38926944.54,3.28,-1.11,0.34
2014-08-21,28.36,28.6,26.9,27.6,2627854,28.068,2064850,72528770.4,5.99,-2.68,2.04
2014-08-22,27.51,28.37,27.2,28.23,1717859,28.274,2092159,48495159.57,4.25,2.62,4.74
2014-08-25,28.33,28.78,28.03,28.53,1013089,28.302,1767823,28903429.17,2.65,0.71,0.55
2014-08-26,28.53,28.68,27.8,27.95,1876262,28.138,1721339,52441522.9,3.08,-2.03,4.67
2014-08-27,27.56,28.37,26.82,27.31,1493957,27.924,1745804,40799965.67,5.62,-0.91,0.74
2014-08-28,27.5,27.78,26.88,27.0,848328,27.804,1389899,22904856.0,3.27,-1.82,1.32
2014-08-29,26.92,27.99,26.92,27.72,830683,27.702,1212464,23026532.759999998,3.97,2.97,2.94
2014-09-01,27.72,28.49,27.19,28.28,1556019,27.652,1321050,44004217.32,4.69,2.02,2.92
2014-09-02,28.3,28.89,27.81,28.6,1071917,27.782,1160181,30656826.200000003,3.82,1.06,2.73
2014-09-03,28.6,28.88,28.27,28.63,952519,28.046,1051893,27270618.97,2.13,0.1,2.4
2014-09-04,28.75,28.83,28.3,28.52,972896,28.35,1076807,27746993.919999998,1.84,-0.8,1.95
2014-09-05,28.6,28.6,27.85,28.3,1285869,28.466,1167844,36390092.7,2.62,-1.05,1.35
2014-09-09,28.43,28.46,28.11,28.35,990408,28.48,1054722,28078066.8,1.23,-0.28,0.5
2014-09-10,28.12,28.88,28.12,28.65,1107908,28.49,1061920,31741564.2,2.7,1.88,0.84
2014-09-11,28.78,31.0,28.22,30.69,1960598,28.902,1263536,60170752.620000005,9.66,6.64,4.03
2014-09-15,32.0,33.76,31.3,33.15,4892546,29.828,2047466,162187899.9,7.69,3.59,4.19
2014-09-16,32.0,35.3,32.0,32.8,3624093,30.728,2515111,118870250.39999999,10.31,2.5,0.8
2014-09-17,33.2,33.46,31.8,32.8,1839244,31.618,2684878,60327203.199999996,5.0,-1.2,1.41
2014-09-18,32.7,32.7,31.41,31.9,2915006,32.268,3046297,92988691.39999999,3.94,-2.45,4.3
2014-09-19,31.68,32.2,31.0,32.08,2043218,32.546,3062821,65546433.44,3.79,1.26,4.38
2014-09-22,31.71,32.86,31.02,32.73,1171512,32.462,2318615,38343587.76,5.8,3.22,2.02
2014-09-23,32.5,33.14,32.26,32.52,810790,32.406,1755954,26366890.8,2.71,0.06,3.52
2014-09-24,32.57,33.47,32.25,32.91,735169,32.428,1535139,24194411.79,3.75,1.04,3.18
2014-09-25,32.9,33.4,32.57,33.2,1187996,32.688,1189737,39441467.2,2.52,0.91,2.36
2014-09-26,33.47,33.59,32.82,32.95,775006,32.862,936095,25536447.700000003,2.3,-1.55,2.38
2014-09-29,32.85,32.95,31.0,32.25,1981252,32.766,1098043,63895377.0,5.94,-1.83,1.63
2014-09-30,32.04,32.47,32.04,32.28,574507,32.718,1050786,18545085.96,1.34,0.75,2.96
2014-10-08,32.28,32.39,31.71,32.28,621530,32.592,1028058,20062988.400000002,2.11,0.0,0.55
2014-10-09,32.4,32.46,31.33,31.79,1460364,32.31,1082532,46424971.56,3.49,-1.88,2.7
2014-10-10,31.79,31.96,30.02,31.93,1039382,32.106,1135407,33187467.259999998,6.1,0.44,2.56
2014-10-13,31.77,33.35,30.83,33.11,1147848,32.278,968726,38005247.28,7.93,4.22,2.38
2014-10-14,33.03,33.08,31.13,32.4,961992,32.302,1046223,31168540.799999997,5.9,-1.91,0.8
2014-10-15,32.32,32.99,31.51,32.2,644932,32.286,1050904,20766810.400000002,4.58,-0.37,3.19
2014-10-16,31.61,31.99,30.89,30.89,1116615,32.106,982154,34492237.35,3.48,-2.28,2.36
2014-10-17,30.8,31.65,29.01,31.54,1200316,32.028,1014341,37857966.64,8.57,2.4,3.2
2014-10-20,31.28,31.5,30.5,30.74,655790,31.554,915929,20158984.599999998,3.2,-1.73,2.87
2014-10-21,30.59,31.12,27.88,29.58,922778,30.99,908086,27295773.24,10.59,-3.3,1.5
2014-10-22,29.52,29.52,27.9,28.7,1731689,30.29,1125438,49699474.3,5.49,-2.78,0.53
2014-10-23,28.51,30.0,28.25,29.57,1634247,30.026,1228964,48324683.79,6.14,3.72,4.04
2014-10-24,29.38,30.21,29.11,29.7,1259159,29.658,1240733,37397022.3,3.74,1.09,3.09
2014-10-27,29.69,30.48,29.69,30.4,654670,29.59,1240509,19901968.0,2.66,2.39,2.94
2014-10-28,30.22,31.77,30.05,31.6,1140309,29.994,1284015,36033764.4,5.69,4.57,2.94
2014-10-29,31.22,31.8,31.08,31.44,936377,30.542,1124952,29439692.880000003,2.31,0.7,0.6
2014-10-30,31.25,31.64,30.5,30.6,1158874,30.748,1029878,35461544.4,3.65,-2.08,2.44
2014-10-31,30.6,30.6,28.69,28.79,2577867,30.566,1293619,74216790.92999999,6.24,-5.92,3.83
2014-11-03,28.8,29.3,27.7,29.19,2569950,30.324,1676675,75016840.5,5.56,1.35,1.26
2014-11-04,28.88,28.88,27.88,27.98,2456732,29.6,1939960,68739361.36,3.46,-3.12,0.85
2014-11-05,28.15,28.25,27.7,27.8,1119516,28.872,1976588,31122544.8,1.95,-1.24,4.61
2014-11-06,27.62,27.95,27.55,27.91,1542901,28.334,2053393,43062366.910000004,1.45,1.05,2.01
2014-11-07,28.78,28.79,27.72,27.84,1430625,28.144,1823945,39828600.0,3.72,-3.27,1.9
2014-11-10,28.06,28.7,27.8,28.43,1127754,27.992,1535506,32062046.22,3.21,1.32,1.94
2014-11-11,28.42,28.45,25.59,25.76,2577257,27.548,1559611,66390140.32000001,10.06,-9.36,2.47
2014-11-12,25.28,26.1,23.76,25.8,5479253,27.148,2431558,141364727.4,9.26,2.06,4.07
2014-11-13,25.0,25.2,24.18,25.19,2274430,26.604,2577864,57292891.7,4.08,0.76,1.56
2014-11-14,24.8,25.0,24.32,24.9,1185301,26.016,2528799,29513994.9,2.74,0.4,4.78
2014-11-17,24.9,25.66,24.75,25.15,1734212,25.36,2650091,43615431.8,3.65,1.0,1.54
2014-11-18,25.01,25.35,24.68,24.82,1025057,25.172,2339651,25441914.740000002,2.68,-0.76,3.53
2014-11-19,24.82,25.43,24.81,25.35,1348195,25.082,1513439,34176743.25,2.5,2.14,4.93
2014-11-20,25.3,25.64,25.05,25.27,999610,25.098,1258475,25260144.7,2.33,-0.12,0.16
2014-11-21,25.3,26.48,25.05,26.48,2098740,25.414,1441163,55574635.2,5.65,4.66,0.05
2014-11-24,26.94,27.85,26.67,27.28,2605894,25.84,1615499,71088788.32000001,4.38,1.26,1.8
2014-11-25,27.68,27.7,26.88,27.07,2107896,26.29,1832067,57060744.72,2.96,-2.2,2.56
2014-11-26,27.08,27.35,26.67,26.86,1853271,26.592,1933082,49778859.06,2.51,-0.81,4.04
2014-11-27,26.98,27.33,26.71,27.3,2593672,26.998,2251895,70807245.60000001,2.3,1.19,1.18
2014-11-28,27.31,27.31,26.88,27.01,1970368,27.104,2226220,53219639.68,1.57,-1.1,2.43
2014-12-01,26.93,27.8,25.95,26.32,2229692,26.912,2150980,58685493.44,6.87,-2.27,4.92
2014-12-02,26.4,27.22,25.32,27.02,2971553,26.902,2323711,80291362.06,7.2,2.35,2.78
2014-12-03,26.79,26.88,26.02,26.6,1814650,26.85,2315987,48269690.0,3.21,-0.71,4.04
2014-12-04,26.6,26.68,26.04,26.13,2988277,26.616,2394908,78083678.00999999,2.41,-1.77,2.65
2014-12-05,26.15,26.64,24.76,26.2,2621166,26.454,2525068,68674549.2,7.19,0.19,2.84
2014-12-08,27.31,28.82,26.55,28.82,6014568,26.954,3282043,173339849.76,8.31,5.53,3.57
2014-12-09,28.81,28.81,26.38,26.43,3622614,26.836,3412255,95745688.02,8.43,-8.26,1.66
2014-12-10,26.43,27.29,25.22,26.99,1944232,26.914,3438171,52474821.68,7.83,2.12,3.33
2014-12-11,26.94,27.5,26.31,26.86,1272482,27.06,3095012,34178866.519999996,4.42,-0.3,1.36
2014-12-12,26.8,27.19,26.5,26.95,930747,27.21,2756929,25083631.65,2.57,0.56,4.99
2014-12-15,26.79,27.65,26.6,27.5,1288818,26.946,1811779,35442495.0,3.92,2.65,4.08
2014-12-16,27.5,28.48,27.36,28.46,2450942,27.352,1577444,69753809.32000001,4.07,3.49,3.67
2014-12-17,28.65,28.65,27.25,27.4,2501246,27.434,1688847,68534140.39999999,4.89,-4.36,3.18
2014-12-18,27.4,27.8,27.1,27.32,736203,27.526,1581591,20113065.96,2.55,-0.29,4.27
2014-12-19,27.32,27.33,26.0,26.58,1352240,27.452,1665890,35942539.199999996,4.87,-2.71,1.82
2014-12-22,26.4,26.4,23.92,23.92,1208900,26.736,1649906,28916888.000000004,9.39,-9.39,4.62
2014-12-23,21.53,21.8,21.53,21.53,1310400,25.35,1421798,28212912.0,1.25,0.0,1.6
2014-12-24,19.38,23.5,19.38,21.75,8154704,24.22,2552489,177364812.0,21.26,12.23,3.37
2014-12-25,20.78,21.59,19.66,21.15,5239675,22.986,3453184,110819126.25,9.29,1.78,1.48
2014-12-26,21.05,21.7,20.62,21.3,2135935,21.93,3609923,45495415.5,5.13,1.19,2.0
2014-12-29,21.25,21.25,20.17,20.9,2939360,21.326,3956015,61432623.99999999,5.08,-1.65,2.48
2014-12-30,20.45,20.77,19.6,20.24,2056700,21.068,4105275,41627608.0,5.72,-1.03,3.25
2014-12-31,20.3,21.1,19.48,21.0,3399687,20.918,3154271,71393427.0,7.98,3.45,2.19
2015-01-05,20.61,21.09,20.2,20.61,1150736,20.81,2336484,23716668.96,4.32,0.0,3.72
2015-01-06,20.6,20.89,19.9,20.77,2364580,20.704,2382213,49112326.6,4.81,0.83,4.87
2015-01-07,20.78,20.99,20.25,20.49,1297739,20.622,2053888,26590672.11,3.56,-1.4,2.93
2015-01-08,20.62,22.54,20.5,22.54,4449603,21.082,2532469,100294051.61999999,9.89,9.31,1.46
2015-01-09,23.0,24.39,22.0,23.3,3442565,21.542,2541045,80211764.5,10.39,1.3,0.97
2015-01-12,22.91,25.26,22.91,24.99,5548019,22.418,3420501,138644994.81,10.26,9.08,4.42
2015-01-13,24.87,25.92,24.73,25.78,3577550,23.42,3663095,92229239.0,4.78,3.66,4.26
2015-01-14,25.78,26.93,25.25,25.91,1965174,24.504,3796582,50917658.34,6.52,0.5,2.87
2015-01-15,26.0,26.26,25.34,25.6,1676692,25.116,3242000,42923315.2,3.54,-1.54,0.71
2015-01-16,25.6,25.98,24.74,25.8,1721208,25.616,2897729,44407166.4,4.84,0.78,4.35
2015-01-19,23.9,26.7,23.9,25.1,2211449,25.638,2230415,55507369.900000006,11.72,5.02,3.63
2015-01-20,25.1,25.75,24.88,25.22,2090915,25.526,1933088,52732876.3,3.47,0.48,4.23
2015-01-21,25.0,27.3,25.0,26.75,6021761,25.694,2744405,161082106.75,9.2,7.0,1.27
2015-01-22,26.79,28.89,26.3,28.66,3763186,26.306,3161704,107852910.76,9.67,6.98,4.87
2015-01-23,28.65,29.35,28.0,29.14,3790380,26.974,3575538,110451673.2,4.71,1.71,3.02
2015-01-26,29.32,29.32,28.55,28.78,2007633,27.71,3534775,57779677.74,2.63,-1.84,0.46
2015-01-27,29.0,29.05,27.65,27.85,2648652,28.236,3646322,73764958.2,4.83,-3.97,1.73
2015-01-28,28.2,28.2,27.3,27.46,1438101,28.378,2729590,39490253.46,3.19,-2.62,4.51
2015-01-29,27.4,29.18,27.4,28.88,3406667,28.422,2658287,98384542.96,6.5,5.4,2.68
2015-01-30,28.88,29.1,28.39,28.56,2552359,28.306,2410682,72895373.03999999,2.46,-1.11,1.67
2015-02-02,27.9,30.42,27.58,30.0,4029734,28.55,2815103,120892020.0,10.18,7.53,0.97
2015-02-03,30.0,30.36,29.71,30.1,4078968,29.0,3101166,122776936.80000001,2.17,0.33,3.81
2015-02-04,30.0,31.11,29.7,30.4,2851143,29.588,3383774,86674747.2,4.7,1.33,1.24
2015-02-05,30.6,30.6,29.2,29.3,2818608,29.672,3266162,82585214.4,4.58,-4.25,4.29
2015-02-06,29.28,30.5,27.65,29.0,6277745,29.76,4011240,182054605.0,9.73,-0.96,4.65
2015-02-09,29.05,29.05,27.99,28.36,2524719,29.432,3710237,71601030.84,3.65,-2.38,0.48
2015-02-10,27.78,28.64,27.18,28.27,1852658,29.066,3264975,52374641.66,5.26,1.76,2.07
