date,open,high,low,close,volume,amount,turnover_rate,change_pct,amplitude
2023-09-15,43.144,43.344,42.864,43.114,45858.0,1977121.812,0.0,,1.1198208286674225
2023-09-18,42.854,43.234,42.674,43.064,41510.0,1787586.64,0.0,-0.11597161014983426,1.3122744528284256
2023-09-19,43.104,43.214,41.964,42.214,66258.0,2797015.212,0.0,-1.973806427642577,2.9787436850633875
2023-09-20,41.914,42.414,41.774,41.844,35550.0,1487554.2,0.0,-0.8764864736817146,1.5320534303633853
2023-09-21,42.064,42.284,41.574,41.984,39192.0,1645436.928,0.0,0.33457604435522814,1.7077981430701903
2023-09-22,41.854,42.794,41.594,42.644,60362.0,2574077.128,0.0,1.5720274390243816,2.8850314949271425
2023-09-25,42.394,42.654,41.694,41.784,55488.0,2318510.5919999997,0.0,-2.0166963699465357,2.302489566844152
2023-09-26,41.784,42.644,41.584,41.984,64335.0,2701040.64,0.0,0.4786521156423529,2.549057329742197
2023-09-27,41.874,42.284,41.794,42.034,55641.0,2338813.7939999998,0.0,0.11909298780488076,1.1724170933626885
2023-09-28,42.064,42.514,41.974,42.514,57712.0,2453567.9680000003,0.0,1.141932721130523,1.2865106970982187
2023-10-09,42.364,42.694,41.874,42.184,68886.0,2905887.0239999997,0.0,-0.7762148939173152,1.9582557195395718
2023-10-10,42.364,45.264,42.084,44.564,173859.0,7747852.476,0.0,5.641949554333392,7.556315939549471
2023-10-11,43.964,45.944,43.774,45.204,182384.0,8244486.336,0.0,1.436136792029452,4.957280577511769
2023-10-12,49.344,49.364,46.664,47.444,291518.0,13830779.992,0.0,4.955313689054064,5.786044916852382
2023-10-13,46.964,47.324,44.794,45.294,152891.0,6925044.954,0.0,-4.531658376190895,5.648077867571553
2023-10-16,44.764,47.144,44.664,45.464,124657.0,5667405.848,0.0,0.37532565019648967,5.552570302704632
2023-10-17,45.374,46.014,44.144,45.124,94359.0,4257855.516,0.0,-0.7478444483547286,4.236136281261337
2023-10-18,44.634,44.964,43.544,43.564,100192.0,4364764.288,0.0,-3.457140324439323,3.2610692632739338
2023-10-19,43.264,44.114,43.174,43.314,69604.0,3014827.656,0.0,-0.5738683316499849,2.1772362996247687
2023-10-20,43.124,43.654,42.664,43.564,61025.0,2658493.1,0.0,0.5771805882624603,2.3204575285955418
2023-10-23,44.964,49.504,44.374,46.164,281326.0,12987133.464,0.0,5.968230649159856,11.560823905890825
2023-10-24,46.384,46.794,44.474,45.374,157123.0,7129299.002,0.0,-1.7112901828264415,5.216531006880425
2023-10-25,45.004,47.294,44.844,46.224,129030.0,5964282.72,0.0,1.8733195221933174,5.463384176255453
2023-10-26,45.674,46.564,45.224,46.194,96161.0,4442061.234,0.0,-0.06490134994806551,2.9630284804528646
