[2026-05-12 00:18:00] ============================================================
[2026-05-12 00:18:00] 📈 A股日线数据全量同步开始
[2026-05-12 00:18:00] ============================================================
[2026-05-12 00:18:00] 📊 数据库公司总数: 5850
[2026-05-12 00:18:00] 📁 本地已有文件: 134 个
[2026-05-12 00:18:00] 🔍 待同步股票: 5716 只
[2026-05-12 00:18:00] ⏳ 开始同步...
[2026-05-12 00:18:00] ============================================================
[2026-05-12 00:18:05] 进度: 10/5716 | 成功: 10 | 失败: 0 | 速度: 2.0/秒 | 预计剩余: 47.1分钟
[2026-05-12 00:18:10] 进度: 20/5716 | 成功: 20 | 失败: 0 | 速度: 2.1/秒 | 预计剩余: 46.2分钟
[2026-05-12 00:18:14] 进度: 30/5716 | 成功: 30 | 失败: 0 | 速度: 2.1/秒 | 预计剩余: 44.3分钟
[2026-05-12 00:18:19] 进度: 40/5716 | 成功: 40 | 失败: 0 | 速度: 2.2/秒 | 预计剩余: 43.3分钟
[2026-05-12 00:18:23] 进度: 50/5716 | 成功: 50 | 失败: 0 | 速度: 2.2/秒 | 预计剩余: 42.8分钟
[2026-05-12 00:18:27] 进度: 60/5716 | 成功: 60 | 失败: 0 | 速度: 2.2/秒 | 预计剩余: 42.3分钟
[2026-05-12 00:18:32] 进度: 70/5716 | 成功: 70 | 失败: 0 | 速度: 2.2/秒 | 预计剩余: 42.2分钟
[2026-05-12 00:18:36] 进度: 80/5716 | 成功: 80 | 失败: 0 | 速度: 2.2/秒 | 预计剩余: 41.8分钟
[2026-05-12 00:18:40] 进度: 90/5716 | 成功: 90 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 41.5分钟
[2026-05-12 00:18:44] 进度: 100/5716 | 成功: 100 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 41.3分钟
[2026-05-12 00:18:49] 进度: 110/5716 | 成功: 110 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 41.1分钟
[2026-05-12 00:18:53] 进度: 120/5716 | 成功: 120 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 40.8分钟
[2026-05-12 00:18:57] 进度: 130/5716 | 成功: 130 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 40.6分钟
[2026-05-12 00:19:01] 进度: 140/5716 | 成功: 140 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 40.4分钟
[2026-05-12 00:19:05] 进度: 150/5716 | 成功: 150 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 40.3分钟
[2026-05-12 00:19:10] 进度: 160/5716 | 成功: 160 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 40.1分钟
[2026-05-12 00:19:14] 进度: 170/5716 | 成功: 170 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 40.0分钟
[2026-05-12 00:19:18] 进度: 180/5716 | 成功: 180 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 39.9分钟
[2026-05-12 00:19:22] 进度: 190/5716 | 成功: 190 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 39.8分钟
[2026-05-12 00:19:27] 进度: 200/5716 | 成功: 200 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 39.7分钟
[2026-05-12 00:19:31] 进度: 210/5716 | 成功: 210 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 39.6分钟
[2026-05-12 00:19:35] 进度: 220/5716 | 成功: 220 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 39.5分钟
[2026-05-12 00:19:40] 进度: 230/5716 | 成功: 230 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 39.5分钟
[2026-05-12 00:19:44] 进度: 240/5716 | 成功: 240 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 39.6分钟
[2026-05-12 00:19:49] 进度: 250/5716 | 成功: 250 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 39.6分钟
[2026-05-12 00:19:53] 进度: 260/5716 | 成功: 260 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 39.5分钟
[2026-05-12 00:19:57] 进度: 270/5716 | 成功: 270 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 39.4分钟
[2026-05-12 00:20:02] 进度: 280/5716 | 成功: 280 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 39.3分钟
[2026-05-12 00:20:06] 进度: 290/5716 | 成功: 290 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 39.3分钟
[2026-05-12 00:20:11] 进度: 300/5716 | 成功: 300 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 39.2分钟
[2026-05-12 00:20:15] 进度: 310/5716 | 成功: 310 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 39.2分钟
[2026-05-12 00:20:20] 进度: 320/5716 | 成功: 320 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 39.4分钟
[2026-05-12 00:20:25] 进度: 330/5716 | 成功: 330 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 39.3分钟
[2026-05-12 00:20:29] 进度: 340/5716 | 成功: 340 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 39.1分钟
[2026-05-12 00:20:33] 进度: 350/5716 | 成功: 350 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 39.0分钟
[2026-05-12 00:20:37] 进度: 360/5716 | 成功: 360 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 39.0分钟
[2026-05-12 00:20:42] 进度: 370/5716 | 成功: 370 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 38.9分钟
[2026-05-12 00:20:46] 进度: 380/5716 | 成功: 380 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 38.8分钟
[2026-05-12 00:20:50] 进度: 390/5716 | 成功: 390 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 38.7分钟
[2026-05-12 00:20:54] 进度: 400/5716 | 成功: 400 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 38.6分钟
[2026-05-12 00:20:59] 进度: 410/5716 | 成功: 410 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 38.5分钟
[2026-05-12 00:21:03] 进度: 420/5716 | 成功: 420 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 38.4分钟
[2026-05-12 00:21:08] 进度: 430/5716 | 成功: 430 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 38.4分钟
[2026-05-12 00:21:12] 进度: 440/5716 | 成功: 440 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 38.3分钟
[2026-05-12 00:21:16] 进度: 450/5716 | 成功: 450 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 38.2分钟
[2026-05-12 00:21:20] 进度: 460/5716 | 成功: 460 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 38.1分钟
[2026-05-12 00:21:25] 进度: 470/5716 | 成功: 470 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 38.1分钟
[2026-05-12 00:21:30] 进度: 480/5716 | 成功: 480 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 38.1分钟
[2026-05-12 00:21:34] 进度: 490/5716 | 成功: 490 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 38.0分钟
[2026-05-12 00:21:38] 进度: 500/5716 | 成功: 500 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 37.9分钟
[2026-05-12 00:21:43] 进度: 510/5716 | 成功: 510 | 失败: 0 | 速度: 2.3/秒 | 预计剩余: 37.8分钟
[2026-05-12 00:21:47] 进度: 520/5716 | 成功: 519 | 失败: 1 | 速度: 2.3/秒 | 预计剩余: 37.8分钟
[2026-05-12 00:21:51] 进度: 530/5716 | 成功: 528 | 失败: 2 | 速度: 2.3/秒 | 预计剩余: 37.8分钟
